,Internal Data,External Data,
1,Auto Related,Automobile Dealership,
2,Bakery,,
3,Banks,Bank Branch,
4,Bar,,
5,Church,Worship Facility,
6,College - Classes/Administrative,College/University,
7,College - Dormitory,Residence Hall/Dormitory,
8,Commercial Condos,Immeuble à logements multiples,
9,Convenience Stores,Convenience Store without Gas Station,
10,Convention Center,Convention Center,
11,Dining: Bar Lounge/Leisure,Bar/Nightclub,
12,Dining: Cafeteria / Fast Food,,
13,Dining: Family,,
14,Entertainment,,
15,Exercise Center,Fitness Center/Health Club/Gym,
16,Facility Type,,
17,Fast Food Restaurants,Other - Restaurant/Bar,
18,Fire Station (Unmanned),,
19,Food Stores,Food Sales,Food Service
20,Gymnasium,Fitness Center/Health Club/Gym,
21,Hospitals,,
22,Hospitals / Health Care,Hospital (General Medical & Surgical),
23,Industrial - 1 Shift,,
24,Industrial - 2 Shift,,
25,Industrial - 3 Shift,,
26,Laundromats,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",
27,Library,Library,
28,Light Manufacturers,,
29,Lodging (Hotels/Motels),Hotel,Other - Lodging/Residential
30,Mall Concourse,Other - Mall,
31,Manufacturing Facility,Manufacturing/Industrial Plant,
32,Medical Offices,Medical Office,
33,Multi-Family (Common Areas),Multifamily Housing,
34,Museum,Museum,
35,Nursing Homes,Residential Care Facility,Senior Care Community
36,Office (General Office Types),Office,
37,Office/Retail,,
38,Other,Other,
39,Parking Garages,Parking,
40,Parking Lots,,
41,Police / Fire Stations (24 Hr),Police Station,
42,Post Office,Mailing Center/Post Office,
43,Pump Stations,,
44,Refrigerated Warehouse,Refrigerated Warehouse,
45,Religious Building,,
46,Restaurants,Restaurant,
47,Retail,Retail Store,
48,School / University,Other - Education,
49,Schools (Jr./Sr. High),,
50,Schools (Preschool/Elementary),Pre-school/Daycare,
51,Schools (Technical/Vocational),,
52,Small Services,Other - Services,
53,Sports Arena,Stadium (Open),
54,Town Hall,Social/Meeting Hall,
55,Transportation,Transportation Terminal/Station,
56,Warehouse (Not Refrigerated),Non-Refrigerated Warehouse,
57,Workshop,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",
58,(blank),,
,Grand Total,,
